"","date","grupo","FOB.Sum"
"131",2014-03-01,NA,6013494551.66
"132",2014-03-01,"TODO 2710",623259163.3
"133",2014-03-01,"Gasolina licuado de petroleo",162748.83
"134",2014-04-01,NA,5580030022.09
"135",2014-04-01,"TODO 2710",526675234.05
"136",2014-04-01,"Gasolina licuado de petroleo",797.79
"137",2014-04-01,"Gas Natural",2581.11
"138",2014-05-01,NA,5573272643.01
"139",2014-05-01,"TODO 2710",602889082.68
"140",2014-05-01,"Gasolina licuado de petroleo",23832.38
"141",2014-06-01,NA,5095604130.22
"142",2014-06-01,"TODO 2710",672749833.95
"143",2014-06-01,"Gasolina licuado de petroleo",768.62
"144",2014-07-01,NA,6881421436.81
"145",2014-07-01,"TODO 2710",709174399.52
"146",2014-07-01,"Gasolina licuado de petroleo",16828.9
"147",2014-07-01,"Gas Natural",26250
"148",2014-08-01,NA,5680588637.28
"149",2014-08-01,"TODO 2710",320353908.53
"150",2014-08-01,"Gasolina licuado de petroleo",3496.64
"151",2014-08-01,"Gas Natural",12631.63
"152",2014-09-01,NA,6262378211.67
"153",2014-09-01,"TODO 2710",725148551.83
"154",2014-09-01,"Gasolina licuado de petroleo",1720.9
"155",2014-10-01,NA,6072811273.47
"156",2014-10-01,"TODO 2710",571925551.44
"157",2014-10-01,"Gasolina licuado de petroleo",17435.53
"158",2014-10-01,"Gas Natural",14766.78
"159",2014-11-01,NA,5844238112.93
"160",2014-11-01,"TODO 2710",547700976.26
"161",2014-11-01,"Gasolina licuado de petroleo",1172.16
"162",2014-11-01,"Gas Natural",389.4
