"","date","grupo","FOB.Sum"
"119",2013-04-01,"Gas/Diesel/Fuel Oil",159945593.76
"120",2013-04-01,"Gasolina licuado de petroleo",71633.92
"121",2013-04-01,"Gas Natural",1687.3
"122",2013-05-01,NA,5342062197.17
"123",2013-05-01,"Gas/Diesel/Fuel Oil",345440930.58
"124",2013-05-01,"Otro Kerosene",15521.39
"125",2013-05-01,"Gasolina licuado de petroleo",35252.25
"126",2013-06-01,NA,5739255542.74
"127",2013-06-01,"Gas/Diesel/Fuel Oil",182847194.43
"128",2013-06-01,"Gasolina licuado de petroleo",34066.68
"129",2013-06-01,"Otro Kerosene",24529.6
"130",2013-06-01,"Gas Natural",4678.92
"131",2013-07-01,NA,5633904358.49
"132",2013-07-01,"Gasolina licuado de petroleo",80266.9
"133",2013-07-01,"Otro Kerosene",152.76
"134",2013-07-01,"Gas/Diesel/Fuel Oil",364998658.18
"135",2013-08-01,NA,5244958355.85
"136",2013-08-01,"Gas/Diesel/Fuel Oil",226327105.42
"137",2013-08-01,"Gasolina licuado de petroleo",45212.44
"138",2013-08-01,"Gas Natural",1536.63
"139",2013-09-01,NA,5261719030.56
"140",2013-09-01,"Gas/Diesel/Fuel Oil",408908550.57
"141",2013-09-01,"Otro Kerosene",6967.61
"142",2013-09-01,"Querosene.Jet Fuel",200
"143",2013-09-01,"Gas Natural",6148.68
"144",2013-09-01,"Gasolina licuado de petroleo",67502.8
"145",2013-10-01,NA,6120935901.33
"146",2013-10-01,"Gas/Diesel/Fuel Oil",268093468.96
"147",2013-10-01,"Gasolina licuado de petroleo",34358.72
"148",2013-10-01,"Gas Natural",2603.94
"149",2013-11-01,NA,6333811504.56
"150",2013-11-01,"Otro Kerosene",12060.57
"151",2013-11-01,"Gas/Diesel/Fuel Oil",202112558.9
"152",2013-11-01,"Gasolina licuado de petroleo",99870.4
"153",2013-12-01,NA,5313550282.16
"154",2013-12-01,"Gas/Diesel/Fuel Oil",204184457.34
"155",2013-12-01,"Gasolina licuado de petroleo",89647.7
"156",2014-01-01,NA,5092341037.4
"157",2014-01-01,"Gas/Diesel/Fuel Oil",345856174.32
"158",2014-01-01,"Gas Natural",2391.5
"159",2014-01-01,"Gasolina licuado de petroleo",67162.4
"160",2014-02-01,NA,5113727095.45
"161",2014-02-01,"Gas/Diesel/Fuel Oil",361610612.68
"162",2014-02-01,"Gasolina licuado de petroleo",35288.49
"163",2014-02-01,"Otro Kerosene",10246.55
"164",2014-03-01,NA,6321262739.23
"165",2014-03-01,"Gasolina licuado de petroleo",162748.83
"166",2014-03-01,"Otro Kerosene",5123.22
"167",2014-03-01,"Gas/Diesel/Fuel Oil",315485852.51
"168",2014-04-01,NA,5838313495.71
"169",2014-04-01,"Gasolina licuado de petroleo",797.79
"170",2014-04-01,"Gas/Diesel/Fuel Oil",268391760.43
"171",2014-04-01,"Gas Natural",2581.11
"172",2014-05-01,NA,5876870030.32
"173",2014-05-01,"Otro Kerosene",11044.62
"174",2014-05-01,"Gas/Diesel/Fuel Oil",299280650.75
"175",2014-05-01,"Gasolina licuado de petroleo",23832.38
"176",2014-06-01,NA,5419292952.04
"177",2014-06-01,"Gas/Diesel/Fuel Oil",349061012.13
"178",2014-06-01,"Gasolina licuado de petroleo",768.62
"179",2014-07-01,NA,7239293715.49
"180",2014-07-01,"Gasolina licuado de petroleo",16828.9
"181",2014-07-01,"Gas/Diesel/Fuel Oil",351296997.61
"182",2014-07-01,"Otro Kerosene",5123.23
"183",2014-07-01,"Gas Natural",26250
"184",2014-08-01,NA,5878195861.85
"185",2014-08-01,"Gasolina licuado de petroleo",3496.64
"186",2014-08-01,"Gas/Diesel/Fuel Oil",122746683.96
"187",2014-08-01,"Gas Natural",12631.63
"188",2014-09-01,NA,6593680465.48
"189",2014-09-01,"Otro Kerosene",1243.29
"190",2014-09-01,"Gas/Diesel/Fuel Oil",393845054.73
"191",2014-09-01,"Gasolina licuado de petroleo",1720.9
"192",2014-10-01,NA,6329122275.15
"193",2014-10-01,"Gas/Diesel/Fuel Oil",291117415.3
"194",2014-10-01,"Gasolina licuado de petroleo",17435.53
"195",2014-10-01,"Otro Kerosene",24497134.46
"196",2014-10-01,"Gas Natural",14766.78
"197",2014-11-01,NA,6108120464.42
"198",2014-11-01,"Gas/Diesel/Fuel Oil",260605519.55
"199",2014-11-01,"Otro Kerosene",23213105.22
"200",2014-11-01,"Gasolina licuado de petroleo",1172.16
"201",2014-11-01,"Gas Natural",389.4
